Time,Agebin,Clone ID,Frequency
210,2093,560858,1
210,2093,75464,1
210,2093,113552,3
210,2093,91309,1
210,2093,678872,2
210,2093,522027,1
210,2093,66224,1
210,2093,281395,1
210,2093,60622,1
210,2093,297604,1
210,2093,917739,1
210,2093,830109,1
210,2093,16928,1
210,2093,336079,1
210,2093,355335,1
210,2093,216624,1
210,2093,359626,1
210,2093,363629,1
210,2093,921897,3
210,2093,376178,1
210,2093,390161,1
210,2093,897116,1
210,2093,379210,1
210,2093,329302,1
210,2093,392802,2
210,2093,781400,1
210,2093,394050,1
210,2093,264924,1
210,2093,398782,1
210,2093,961530,1
210,2093,445910,1
210,2093,737063,1
210,2093,461219,1
210,2093,348211,1
210,2093,483466,2
210,2092,991055,1
210,2092,945408,1
210,2092,937826,1
210,2092,931821,1
210,2092,918902,1
210,2092,917782,1
210,2092,987065,1
210,2092,912262,1
210,2092,827025,1
210,2092,815780,1
210,2092,813435,2
210,2092,803782,2
210,2092,802782,2
210,2092,848900,1
210,2092,796957,1
210,2092,856214,1
210,2092,782427,1
210,2092,701698,1
210,2092,654435,1
210,2092,640540,1
210,2092,634837,1
210,2092,628110,2
210,2092,868719,1
210,2092,789725,1
210,2092,625768,1
210,2092,622543,2
210,2092,621446,1
210,2092,599569,1
210,2092,598887,1
210,2092,583838,1
210,2092,579531,1
210,2092,579079,1
210,2092,228791,1
210,2092,839416,1
210,2092,219910,1
210,2092,850746,2
210,2092,523975,1
210,2092,872877,1
210,2092,804043,1
210,2092,170567,1
210,2092,395284,1
210,2092,158501,1
210,2092,481113,2
210,2092,162158,1
210,2092,900470,1
210,2092,148122,1
210,2092,138328,1
210,2092,193292,1
210,2092,144270,1
210,2092,363236,1
210,2092,148987,1
210,2092,31305,1
210,2092,34046,1
210,2092,235635,1
210,2092,50088,1
210,2092,74350,2
210,2092,570127,1
210,2092,33081,3
210,2092,49031,2
210,2092,309680,1
210,2092,286820,1
210,2092,680959,2
210,2092,530591,1
210,2092,40615,1
210,2092,988494,1
210,2092,116131,2
210,2092,977757,2
210,2092,948293,1
210,2092,159496,4
210,2092,465647,1
210,2092,61292,1
210,2092,53770,1
210,2092,455471,2
210,2092,41118,1
210,2092,763009,1
210,2092,555745,1
210,2092,313855,2
210,2092,318234,1
210,2092,324962,2
210,2092,765391,1
210,2092,350863,1
210,2092,189271,1
210,2092,503850,1
210,2092,347924,1
210,2092,154973,2
210,2092,362237,1
210,2092,131395,1
210,2092,372441,1
210,2092,703876,1
210,2092,276140,1
210,2092,292015,1
210,2092,390440,1
210,2092,188863,1
210,2092,401461,1
210,2092,408615,1
210,2092,464175,1
210,2092,879833,2
210,2092,160759,1
210,2092,479148,1
210,2092,488293,1
210,2092,525323,2
210,2092,558893,1
210,2092,214638,1
210,2092,562491,1
210,2091,978333,1
210,2091,973908,1
210,2091,952573,3
210,2091,857349,1
210,2091,853468,1
210,2091,853026,1
210,2091,851576,1
210,2091,819008,1
210,2091,816583,1
210,2091,812914,1
210,2091,809417,1
210,2091,754369,1
210,2091,946215,2
210,2091,753937,1
210,2091,748690,2
210,2091,735269,1
210,2091,727085,1
210,2091,721579,4
210,2091,718254,1
210,2091,700073,1
210,2091,635825,1
210,2091,633462,1
210,2091,600131,1
210,2091,593110,1
210,2091,571645,1
210,2091,630890,1
210,2091,563580,1
210,2091,547260,1
210,2091,227829,2
210,2091,789810,1
210,2091,221358,2
210,2091,189468,1
210,2091,214242,1
210,2091,202088,1
210,2091,148499,1
210,2091,144839,1
210,2091,316417,1
210,2091,23065,1
210,2091,7444,2
210,2091,537792,1
210,2091,119073,1
210,2091,534298,2
210,2091,423808,1
210,2091,944118,1
210,2091,22860,2
210,2091,263369,1
210,2091,725526,1
210,2091,63856,1
210,2091,138936,1
210,2091,803309,2
210,2091,265845,4
210,2091,124175,1
210,2091,85185,1
210,2091,136526,2
210,2091,334519,2
210,2091,552775,1
210,2091,238831,1
210,2091,594529,1
210,2091,98848,1
210,2091,244646,1
210,2091,100685,1
210,2091,338810,1
210,2091,566465,1
210,2091,120695,2
210,2091,217850,1
210,2091,840817,2
210,2091,162256,1
210,2091,78563,1
210,2091,355214,1
210,2091,106519,3
210,2091,269845,1
210,2091,416876,1
210,2091,307748,1
210,2091,950855,1
210,2091,576205,1
210,2091,245116,1
210,2091,294392,1
210,2091,377958,2
210,2091,936700,1
210,2091,308177,1
